Battery_Type,Brand,Problem,Repairable,Action
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹681
NiMH,LG,Not Charging,Yes,Repair - Approx Cost ₹429
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹1014
NiMH,Amaron,Not Charging,Yes,Repair - Approx Cost ₹883
Li-ion,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Overheating,Yes,Repair - Approx Cost ₹838
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹462
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1448
Lead-Acid,Amaron,Not Charging,Yes,Repair - Approx Cost ₹964
Li-ion,LG,Overheating,Yes,Repair - Approx Cost ₹1307
Li-Polymer,Exide,Overheating,Yes,Repair - Approx Cost ₹847
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Not Charging,Yes,Repair - Approx Cost ₹799
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹794
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹636
NiMH,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1217
NiMH,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1499
Lead-Acid,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹942
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹287
Li-ion,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹759
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Low Backup,Yes,Repair - Approx Cost ₹606
Li-Polymer,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1390
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹574
Lead-Acid,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Low Backup,Yes,Repair - Approx Cost ₹653
Li-Polymer,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹459
Lead-Acid,Samsung,Not Charging,Yes,Repair - Approx Cost ₹537
NiMH,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1026
Li-Polymer,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹1253
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹540
NiMH,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹352
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Not Charging,Yes,Repair - Approx Cost ₹523
NiMH,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Low Backup,Yes,Repair - Approx Cost ₹507
Li-Polymer,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹528
NiMH,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹585
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹364
NiMH,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹738
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹1072
NiMH,Sony,Not Charging,Yes,Repair - Approx Cost ₹982
Li-Polymer,Amaron,Not Charging,Yes,Repair - Approx Cost ₹974
Li-ion,Exide,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1275
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹757
Lead-Acid,Duracell,Not Charging,Yes,Repair - Approx Cost ₹1438
Li-Polymer,Panasonic,Overheating,Yes,Repair - Approx Cost ₹984
NiMH,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Voltage Drop,Yes,Repair - Approx Cost ₹463
Li-ion,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹841
NiMH,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹754
Li-Polymer,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹1362
NiMH,Amaron,Low Backup,Yes,Repair - Approx Cost ₹708
NiMH,Duracell,Low Backup,Yes,Repair - Approx Cost ₹1046
Li-Polymer,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1449
Li-ion,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1161
Lead-Acid,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1195
NiMH,Samsung,Overheating,Yes,Repair - Approx Cost ₹623
Lead-Acid,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Overheating,Yes,Repair - Approx Cost ₹426
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹418
NiMH,Exide,Not Charging,Yes,Repair - Approx Cost ₹1417
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1364
Lead-Acid,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Not Charging,Yes,Repair - Approx Cost ₹345
NiMH,Duracell,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹656
NiMH,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹401
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹658
Li-ion,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Not Charging,Yes,Repair - Approx Cost ₹1026
NiMH,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1440
NiMH,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Low Backup,Yes,Repair - Approx Cost ₹279
NiMH,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹267
NiMH,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹461
Li-Polymer,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹850
Lead-Acid,Amaron,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Overheating,Yes,Repair - Approx Cost ₹563
Li-Polymer,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Not Charging,Yes,Repair - Approx Cost ₹520
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Overheating,Yes,Repair - Approx Cost ₹741
Lead-Acid,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1027
Lead-Acid,LG,Overheating,Yes,Repair - Approx Cost ₹384
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹384
NiMH,Samsung,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Overheating,Yes,Repair - Approx Cost ₹1207
Li-ion,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹1152
NiMH,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹550
NiMH,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹1482
NiMH,Samsung,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹907
Lead-Acid,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1261
NiMH,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Not Charging,Yes,Repair - Approx Cost ₹268
Lead-Acid,Amaron,Not Charging,Yes,Repair - Approx Cost ₹798
Lead-Acid,Exide,Overheating,Yes,Repair - Approx Cost ₹1450
NiMH,Exide,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹378
Lead-Acid,Duracell,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Duracell,Not Charging,Yes,Repair - Approx Cost ₹1456
Li-ion,Sony,Overheating,Yes,Repair - Approx Cost ₹437
NiMH,Exide,Overheating,Yes,Repair - Approx Cost ₹542
NiMH,Panasonic,Overheating,Yes,Repair - Approx Cost ₹1278
NiMH,Sony,Low Backup,Yes,Repair - Approx Cost ₹994
Li-ion,LG,Not Charging,Yes,Repair - Approx Cost ₹1346
NiMH,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Overheating,Yes,Repair - Approx Cost ₹671
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹1032
Lead-Acid,Exide,Not Charging,Yes,Repair - Approx Cost ₹1334
Li-Polymer,Duracell,Not Charging,Yes,Repair - Approx Cost ₹393
Li-ion,Samsung,Low Backup,Yes,Repair - Approx Cost ₹1473
Lead-Acid,Duracell,Low Backup,Yes,Repair - Approx Cost ₹269
Li-Polymer,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1103
Lead-Acid,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹342
Li-Polymer,LG,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1075
Lead-Acid,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Overheating,Yes,Repair - Approx Cost ₹1324
NiMH,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Low Backup,Yes,Repair - Approx Cost ₹960
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,LG,Low Backup,Yes,Repair - Approx Cost ₹1322
Lead-Acid,LG,Not Charging,Yes,Repair - Approx Cost ₹382
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1312
Li-ion,Duracell,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Overheating,Yes,Repair - Approx Cost ₹1386
Li-Polymer,Samsung,Not Charging,Yes,Repair - Approx Cost ₹487
Li-ion,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹369
Li-ion,Sony,Overheating,Yes,Repair - Approx Cost ₹915
Li-ion,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Not Charging,Yes,Repair - Approx Cost ₹1183
Li-Polymer,Exide,Not Charging,Yes,Repair - Approx Cost ₹447
Li-Polymer,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Overheating,Yes,Repair - Approx Cost ₹1390
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,LG,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹404
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹626
NiMH,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹417
Li-ion,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Panasonic,Overheating,Yes,Repair - Approx Cost ₹330
Li-Polymer,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Overheating,Yes,Repair - Approx Cost ₹330
Lead-Acid,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹1367
NiMH,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹523
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Amaron,Not Charging,Yes,Repair - Approx Cost ₹546
Li-ion,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Overheating,Yes,Repair - Approx Cost ₹939
Li-ion,Amaron,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,Samsung,Low Backup,Yes,Repair - Approx Cost ₹703
Lead-Acid,Duracell,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Overheating,Yes,Repair - Approx Cost ₹1484
NiMH,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹870
NiMH,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Not Charging,Yes,Repair - Approx Cost ₹1395
Li-Polymer,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Low Backup,Yes,Repair - Approx Cost ₹375
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹1463
Li-ion,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹1255
Lead-Acid,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹258
Li-Polymer,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹482
Li-Polymer,LG,Voltage Drop,Yes,Repair - Approx Cost ₹662
Li-Polymer,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1256
Li-Polymer,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹567
Lead-Acid,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Low Backup,Yes,Repair - Approx Cost ₹358
Li-Polymer,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Exide,Leakage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Voltage Drop,Yes,Repair - Approx Cost ₹914
Li-Polymer,Duracell,Low Backup,Yes,Repair - Approx Cost ₹306
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Panasonic,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-Polymer,Amaron,Overheating,Yes,Repair - Approx Cost ₹1320
Li-Polymer,LG,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹533
Lead-Acid,LG,Voltage Drop,Yes,Repair - Approx Cost ₹375
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹367
Li-ion,Panasonic,Not Charging,Yes,Repair - Approx Cost ₹385
Lead-Acid,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Sony,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹1077
NiMH,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹896
Lead-Acid,Samsung,Physical Damage,No,Not Repairable - Need to Buy New One
NiMH,Amaron,Overheating,Yes,Repair - Approx Cost ₹632
Li-Polymer,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,Duracell,Leakage,No,Not Repairable - Need to Buy New One
NiMH,Exide,Overheating,Yes,Repair - Approx Cost ₹698
Lead-Acid,Duracell,Overheating,Yes,Repair - Approx Cost ₹1407
Li-Polymer,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Lead-Acid,Amaron,Low Backup,Yes,Repair - Approx Cost ₹807
NiMH,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Overheating,Yes,Repair - Approx Cost ₹1347
Li-ion,Amaron,Not Charging,Yes,Repair - Approx Cost ₹546
Lead-Acid,Duracell,Voltage Drop,Yes,Repair - Approx Cost ₹236
Li-ion,Amaron,Not Charging,Yes,Repair - Approx Cost ₹1478
NiMH,Amaron,Physical Damage,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Voltage Drop,Yes,Repair - Approx Cost ₹993
Li-Polymer,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Swollen Battery,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹1155
Lead-Acid,Sony,Not Charging,Yes,Repair - Approx Cost ₹455
Li-ion,Panasonic,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Low Backup,Yes,Repair - Approx Cost ₹315
Li-ion,Duracell,Not Charging,Yes,Repair - Approx Cost ₹949
Lead-Acid,Sony,Low Backup,Yes,Repair - Approx Cost ₹753
Lead-Acid,Sony,Overheating,Yes,Repair - Approx Cost ₹1112
Li-Polymer,Exide,Dead Cell,No,Not Repairable - Need to Buy New One
Li-Polymer,Samsung,Dead Cell,No,Not Repairable - Need to Buy New One
Li-ion,LG,Low Backup,Yes,Repair - Approx Cost ₹1045
Li-Polymer,LG,Overheating,Yes,Repair - Approx Cost ₹1090
Li-ion,Sony,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Sony,Leakage,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Not Charging,Yes,Repair - Approx Cost ₹1375
Li-Polymer,Samsung,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-ion,Exide,Physical Damage,No,Not Repairable - Need to Buy New One
Lead-Acid,Samsung,Overheating,Yes,Repair - Approx Cost ₹692
Li-Polymer,Amaron,Swollen Battery,No,Not Repairable - Need to Buy New One
Li-Polymer,Sony,Not Charging,Yes,Repair - Approx Cost ₹368
Li-Polymer,Sony,Voltage Drop,Yes,Repair - Approx Cost ₹413
Lead-Acid,LG,Low Backup,Yes,Repair - Approx Cost ₹446
NiMH,Amaron,Not Charging,Yes,Repair - Approx Cost ₹313
NiMH,Duracell,Physical Damage,No,Not Repairable - Need to Buy New One
Li-ion,Panasonic,Voltage Drop,Yes,Repair - Approx Cost ₹235
NiMH,Panasonic,Dead Cell,No,Not Repairable - Need to Buy New One
NiMH,LG,Voltage Drop,Yes,Repair - Approx Cost ₹997
Li-ion,Duracell,Not Charging,Yes,Repair - Approx Cost ₹915
NiMH,Sony,Low Backup,Yes,Repair - Approx Cost ₹1449
Lead-Acid,Sony,Swollen Battery,No,Not Repairable - Need to Buy New One
